ID_Cliente,Età,Durata_Abbonamento,Tariffa_Mensile,Dati_Consumati,Servizio_Clienti_Contatti,Churn
1.0,28.0,39.0,29.36,45.2,6.0,
2.0,55.0,48.0,,15.97,1.0,Sì
3.0,27.0,54.0,51.28,22.36,3.0,Sì
4.0,32.0,52.0,93.5,36.53,1.0,No
5.0,,53.0,66.76,,5.0,No
6.0,31.0,,78.61,18.34,0.0,Sì
,34.0,7.0,21.06,8.88,4.0,No
8.0,69.0,7.0,63.42,7.93,5.0,No
,46.0,,88.98,12.39,6.0,No
10.0,43.0,57.0,57.11,10.45,,Sì
11.0,69.0,,43.05,8.69,6.0,Sì
,54.0,39.0,69.63,9.14,6.0,
13.0,66.0,17.0,32.95,2.75,4.0,No
14.0,54.0,18.0,29.73,9.07,6.0,Sì
,44.0,,28.91,41.52,3.0,No
16.0,69.0,15.0,34.96,,3.0,Sì
17.0,39.0,16.0,22.82,34.44,9.0,Sì
18.0,44.0,46.0,24.91,2.78,6.0,No
19.0,24.0,,26.75,6.74,7.0,Sì
20.0,42.0,57.0,76.71,7.09,5.0,No
